Job Code,Company Name,B.Tech Job Designation,B.Tech Gross Salary,B.Tech CTC,Raw_JD_Text_Summary,Job_Description
9936,Vvf India Ltd,GET,1500000,1600000,"Job Details
About VVF Ltd
-
The erstwhile ""The Vegetable Vitamin Foods Company Pvt Ltd"", now known as VVF Ltd. was founded in 1939 by Godrej Pallonji Joshi In Bombay, India. During the early years, VVF manufactured Vegetable Ghee, commonly known as 'Vanaspati' in India. He soon established VVF as one of the earliest domestic manufacturers of Vanaspati.
VVF has since come a long way. From being a small industry, it has grown into a National and Global Leader in the Oleochemicals and Personal Care","Job Details
About VVF Ltd
-
The erstwhile ""The Vegetable Vitamin Foods Company Pvt Ltd"", now known as VVF Ltd. was founded in 1939 by Godrej Pallonji Joshi In Bombay, India. During the early years, VVF manufactured Vegetable Ghee, commonly known as 'Vanaspati' in India. He soon established VVF as one of the earliest domestic manufacturers of Vanaspati.
VVF has since come a long way. From being a small industry, it has grown into a National and Global Leader in the Oleochemicals and Personal Care product segments. Today VVF has three main business verticals - Contract Manufacturing, Consumer Products & Oleochemicals.
Headquartered in
Mumbai, India, VVF
has over 16 operating centers spread across 4 continents,
Asia, North America, Europe, and Africa
.
Position
- GET
Designation
- GET
Cadre/Grade
- JMC
Department & Location
- Central Technical Services for Taloja
Educational Qualification(Required)
- BTech/BE Chemical Engineering.
Experienced Required
- Freshers
Reporting to
- Plant Head.
Functional
- Plant Head.
Key Internal  Interactions
-
Management	- Discussion on improvement activities, technical discussion, providing technical inputs for decision-making by management.
Production - Study of process, evaluation of new schemes, consultation for improvement activities, process problems troubleshooting, Improvement area identification, etc.
Utilities & Maintenance -Technical discussion, consultation for improvement activities, specifications, feasibility study of suggested modifications, energy saving projects identification
Instrumentation, Electrical - Technical discussion, costing.
Role Purpose - GET
To serve as a process technical person, who would take responsibility for small improvement activities in the process, process optimization and optimisation of utilities of the plant.
Shall assist for the preparation of basic documents required for capital proposals under technical service.
Shall coordinate with vendors for technical matters on new improvement activities.
Shall coordinate with various departments for collecting of data, drawings, and layouts related for improvement activities in plant.
Commissioning the improvement activities, optimizing the plant performance, and improving plant efficiency.
Liaisoning with various departments for technical inputs for small project improvements.
Collection of production data, and utility data and analysis for related improvement activities.
Technical Skills & Knowledge  - Requirement
Basic Engineering.
Overall layout designing
Piping layout review / Iso review.
Equipment drawing review.
Knowledge of catalyst and catalytic reactors
Chemical engineering software knowledge like ASPEN, HTRI, Autocad, etc. will be an added advantage.
Overall knowledge of process engineering, heat & mass transfer, fluid mechanics, and equipment design must.
Key Responsibilities -
Preparation of basic engineering documentation i.e. PFD, H & M balance, Eqpt. List, PIDs,s, and PDS of Eqpts / Instruments etc. hydraulic calculations, sizing of process equipment, pressure drop calculation and pipeline sizing, etc.
Basic design of heat exchangers or checking of existing exchangers for its usefulness for improvement activities.
Review & technical evaluation of bought-out eqpts offer & make technical recommendations.
Determination of overall control philosophy of the process and process safety interlocks defining.
Conceptual layouts of the plant, finalization of plot plan / Eqpt Layout, piping isometrics, specifications etc.
Technical review of enquiry and scope of work documents submitted during proposal stage of Turnkey plant package unit and prepare for project kick off meeting and design basis.
Commissioning of the improvement activities in the plant & optimizing the plant performance.
To take up any responsibility assigned by management.
Joining Bonus Clauses:
Kindly note that the candidate will be entitled to a
Joining Bonus
of
Rs.1,00,000/- (Rupees One Lakh only)
and it will be paid to you as follows:
You will be paid a joining bonus of Rs. 1,00,000/-
The same will be paid in the 1st payment month immediately upon joining.
If you decide to resign before completing two years from your date of joining VVF, the Joining Bonus paid to you will be recoverable from you on the gross value.
The joining bonus is an additional one-time payment, over and above your CTC. It is not part of your CTC and will not be considered during any salary revision. All prevailing tax rules will be applicable on the payout.
Place of posting
Accomodation details
Taloja, Maharastra
None
Bond applicable
No"
9946,Google India Pvt. Ltd.,N/A,N/A,N/A,"Job Details
Interaction Designer, University Graduate - India
Product Area:
User experience is at the forefront of how we create intuitive, innovative, and beautiful products that people love. We strive to learn and understand our users’ needs, behaviors, and emotions to gather insights that inform product strategy and design. Our UX teams include designers, researchers, content strategists, and engineers who are passionate about quality, usability, and simplicity. We work on collaborative teams","Job Details
Interaction Designer, University Graduate - India
Product Area:
User experience is at the forefront of how we create intuitive, innovative, and beautiful products that people love. We strive to learn and understand our users’ needs, behaviors, and emotions to gather insights that inform product strategy and design. Our UX teams include designers, researchers, content strategists, and engineers who are passionate about quality, usability, and simplicity. We work on collaborative teams to solve complex challenges and craft experiences that highlight our products’ unique capabilities and personalities. Our work touches billions while exemplifying a key principle that is core to Google’s philosophy: “Focus on the user and all else will follow.”
Role Description:
At Google, we follow a simple but vital premise: ""Focus on the user and all else will follow."" Google’s Interaction Designers take complex tasks and make them intuitive and easy-to-use for billions of people around the globe. Throughout the design process—from creating user flows and wire-frames to building user interface mock-ups and prototypes—you’ll envision how people will experience our products, and bring that vision to life in a way that feels inspired, refined, and even magical.
As an Interaction Designer, you’ll rely on user-centered design methods to craft industry-leading user experiences from concept to execution. Like all of our UX jobs, you’ll collaborate with your design partners to leverage and evolve the Google design language to build beautiful, innovative, inspired products that people love to use.In this role, you'll be part of a cross functional team, building innovative products using your mix of interaction design and visual design skills Applicants for this role must also submit their portfolio
Job Responsibilities:
Understand the genesis of business problems from researchers, product managers and other stakeholders
Work with product managers, UX leads/managers and developers to nail down the key objectives of what problem to solve, at what time frame and what is the desired outcome.
Gauge the usability of new and existing products and make constructive suggestions for change
Demonstrate the ability to develop and communicate underlying concepts that inspire design implementation.
Help to define the user model and user interface for new and existing Google products and features
Minimum Qualifications:
Currently enrolled in a B.Des/ M.Des degree/ diploma program in Human-Computer Interaction, Product Design/ Visual Communication/ Interaction Design or related field, and graduating in 2025.
A design portfolio that demonstrates strong design principles for web and/or mobile platforms.
Demonstrable proficiency with design tools (e.g. Sketch, Figma, Framer Studio, etc.).
Preferred Qualifications:
Solid analytical thinker with excellent communication skills
Strong design background in interaction and/or graphic design and/or motion design fundamentals.
Solid creative and visual thinker with excellent communication skills, both verbal and visual.
Ability to apply brand visual assets in a user interface context and understanding of user-centered design principles.
Familiarity with front-end engineering and/or working with engineers.
Place of posting
Accomodation details
Bangalore, Hyderabad
None
Bond applicable
No"
9218,Google India Pvt. Ltd.,Software Engineer,2100000,3898983,"Job Details
Company overview:
Google is not a conventional company, and we don’t intend to become one. True, we share attributes
with the world’s most successful organizations – a focus on innovation and smart business practices
comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel.
At Google, we know that every employee has something important to say, and that every employee is
integral to our success. Googlers thrive in small, focused teams and high","Job Details
Company overview:
Google is not a conventional company, and we don’t intend to become one. True, we share attributes
with the world’s most successful organizations – a focus on innovation and smart business practices
comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel.
At Google, we know that every employee has something important to say, and that every employee is
integral to our success. Googlers thrive in small, focused teams and high-energy environments, believe
in the ability of technology to change the world, and are as passionate about their lives as they are about
their work. For more information, visit www.google.com/careers.
The areas:
Engineering & Operations: Google is and always will be an engineering company. We hire people with a
broad set of technical skills who are ready to tackle some of technology's greatest challenges and make
an impact on millions, if not billions, of users. At Google, engineers not only revolutionize search, they
routinely work on massive scalability and storage solutions, large-scale applications and entirely new
platforms for developers around the world. From AdWords to Chrome, Android to YouTube, Social to
Local, Google engineers are changing the world one technological achievement after another.
The role:
Google's software engineers develop the next-generation technologies that change how millions of
users connect, explore, and interact with information and one another. Our ambitions reach far beyond
just Search. Our products need to handle information at the scale of the web. We're looking for ideas
from every area of computer science, including information retrieval, artificial intelligence, natural
language processing, distributed computing, large-scale system design, networking, security, data
compression, and user interface design; the list goes on and is growing every day. As a software
engineer, you work on a small team and can switch teams and projects as our fast-paced business
grows and evolves. We need our engineers to be versatile and passionate to tackle new problems as we
continue to push technology forward. As a key member of a small and versatile team, you design, test,
deploy and maintain software solutions. Responsibilities:
● Research, conceive and develop software applications to extend and improve on Google's
product offering
● Contribute to a wide variety of projects utilizing natural language processing, artificial
intelligence, data compression, machine learning and search technologies
● Collaborate on scalability issues involving access to massive amounts of data and information
● Work with and support a productive and innovative team
● Solve all problems that come your way
Minimum qualifications:
● Bachelors degree or equivalent practical experience
● Completed projects or classes focused on data structures and algorithms
● Ability to select and implement an algorithm, using appropriate data structures to efficiently
solve a problem; interpreting algorithms and contributing ideas to their development
● Experience with Unix/Linux or Windows and/or Mac environments, distributed systems, machine
learning, information retrieval and TCP/IP
● Experience with programming in C, C++, Java and/or Python
Place of posting
Accomodation details
Bangalore, Hyderabad, Gurgaon, Pune
None
Bond applicable
No"
10106,Hind Rectifiers Ltd.,GET,1113900,1150058,"Job Details
Company
Hind Rectifiers Ltd.
Department
Research & Development
Title
Control Electronics Engineer
Location
Mumbai
Education
BTech / MTech in Mechanical
Experience
Freshers
Responsibilities
1 Use specialized software (preferably Solidworks) to create models and
drawings of sheet metal and FRP components
2  Carryout design simulation (preferably with Ansys) CFD and Structural.
3  Design of different cooling systems for electronic components
4 Study / research new materials and methods ","Job Details
Company
Hind Rectifiers Ltd.
Department
Research & Development
Title
Control Electronics Engineer
Location
Mumbai
Education
BTech / MTech in Mechanical
Experience
Freshers
Responsibilities
1 Use specialized software (preferably Solidworks) to create models and
drawings of sheet metal and FRP components
2  Carryout design simulation (preferably with Ansys) CFD and Structural.
3  Design of different cooling systems for electronic components
4 Study / research new materials and methods of development for cost
effective designs
5  Organize and maintain existing engineering records
6. Writing regular progress reports and presenting them to project managers
and clients
6. Designing of the prototypes and perform physical testing on engineering
proto
types
8. Ensure components and assemblies adhere to applicable industry and
business standards / customer specifications
9  Panel and component layout based on the industry standards
11  Generating the code numbers and working in SAP for BOM.
12 Attending the daily white board meeting and solving day to day technical
problems.
13. Vendor visits and guiding the QC and Purchase Team for technical issues. Also
customer visits to study the existing design / requirement.
Skills:
•Technical Skills: Basic understanding of electronics
  principles, circuit design, and electronic components. Familiarity with CAD
  software and simulation tools is a plus. 
  Understanding of low-power analog (op-amps, filters, BJTs, FETs) and
  digital circuits (logic, µC, memories). 
  Understanding of test equipments such oscilloscopes, DMMs, etc
•  Analytical
  Skills: Strong problem-solving abilities and attention to detail. Ability to
  analyze and interpret technical data and specifications.
•  Communication:
  Effective verbal and written communication skills. Ability to work
  collaboratively in a team environment.
•  Adaptability:
  Willingness to learn and adapt to new technologies and methodologies.
Ability to diagnose complex technical problems with the
  system
Soft Skills
Being able to work well in teams, positive attitude.
Eagerness to learn and improve
Effective communication skills
Place of posting
Accomodation details
Mumbai
None
Bond applicable
No"
9729,Hind Rectifiers Ltd.,GET,1113900,1150058,"Job Details
Company
Hind Rectifiers Ltd.
Department
Research & Development
Title
Embedded Software Development for Power Electronic
  Converters and Drives
Location
Mumbai
Education
BE in Electrical / Electronics
Experience
Freshers
Introduction
The candidate is responsible for design and simulation of
  different control algorithms for various power electronic converters like
  Active Front End Converters, Motor Drives, DC - DC Converters, Battery
  chargers and implementing the control algorit","Job Details
Company
Hind Rectifiers Ltd.
Department
Research & Development
Title
Embedded Software Development for Power Electronic
  Converters and Drives
Location
Mumbai
Education
BE in Electrical / Electronics
Experience
Freshers
Introduction
The candidate is responsible for design and simulation of
  different control algorithms for various power electronic converters like
  Active Front End Converters, Motor Drives, DC - DC Converters, Battery
  chargers and implementing the control algorithms in DSP controllers through
  embedded coding . The engineer is also responsible for testing and validation
  of the SW in the actual HW in low power and high power applications.
Responsibilities
Understanding different 32 bit micro controllers and
  programming in embedded C language
Experience in writing embedded SW in C language for TI DSP
  (C2000) TMS320F28335,TMS320F28379D and its families can be added advantage
Embedded control SW development for P,PI,PID controllers
Embedded control SW development for v by f control of
  induction motors and PMSM motors
Embedded control SW development for vector control
  (FOC-Field oriented control) of induction motors and PMSM motors
Embedded control SW development for sensor less control of
  induction motors and PMSM motors
Embedded control SW development for time constant
  adaptation of induction motors and PMSM motors
Embedded control SW development for Active Front End
  Converters and Battery chargers
Implementation of control algorithms in DSP and FPGAs
  using embedded C
Embedded control SW development for different PWM
  techniques
Selection of different control topologies for power
  electronics converters  and  MATLAB Simulations
Testing of softwares in the prototype lab models and in
  high power
Understanding of difft. Power electronic switches -
  MOSFET, IGBT, SCR
Collaborate with customers to create systems based on
  their needs
Commissioning of new products in the end customer's
  systems
Monitor and maintain the system after development
Skills
Required Languages – Embedded C
Controllers – PIC32, STM32, TI-DSP
Architectures – ARM (Cortex M4, M7)
Protocols – CAN, SPI, I2C, SPI, UART, USB will be added
  advantage
Ability to diagnose complex technical problems with the
  system
Soft Skills
Being able to work well in teams, positive attitude.
Eagerness to learn and improve
Effective communication skills
Place of posting
Accomodation details
Mumbai
None
Bond applicable
No"
9728,Hind Rectifiers Ltd.,GET,1113900,1150058,"Job Details
Company
Hind Rectifiers Ltd.
Department
Research & Development
Title
Power Electronics Hardware Designing
Location
Mumbai (Bhandup)
Education
BE in Electrical / Electronics
Experience
Freshers
Roles & Responsibilities
Having good knowledge on power electronics devices like IGBTs, MOSFETs, SIC devices, POWER BJTs, gate drivers selection etc.
Losses calculations of different power electronics devices and required heatsink selection
Designing single phase and three phase inverters, Batt","Job Details
Company
Hind Rectifiers Ltd.
Department
Research & Development
Title
Power Electronics Hardware Designing
Location
Mumbai (Bhandup)
Education
BE in Electrical / Electronics
Experience
Freshers
Roles & Responsibilities
Having good knowledge on power electronics devices like IGBTs, MOSFETs, SIC devices, POWER BJTs, gate drivers selection etc.
Losses calculations of different power electronics devices and required heatsink selection
Designing single phase and three phase inverters, Battery chargers
Designing single phase and three phase active front end converters
Selection of DC Link capacitors, filter capacitors, snubber capacitors and filter chokes
Busbar design, busbar stray inductance calculation
Power devices switching characteristics validation
Conducting single pulse test, doube pulse test and short circuit test on IGBTs and MOSFETS
Having good knowledge on different power supplies and different DC DC converter topologies
Skills:
•  Analytical
  Skills: Strong problem-solving abilities and attention to detail. Ability to
  analyze and interpret technical data and specifications.
•  Communication:
  Effective verbal and written communication skills. Ability to work
  collaboratively in a team environment.
•  Adaptability:
  Willingness to learn and adapt to new technologies and methodologies.
Ability to diagnose complex technical problems with the
  system
Soft Skills
Being able to work well in teams, positive attitude.
Eagerness to learn and improve
Effective communication skills
Place of posting
Accomodation details
Mumbai
None
Bond applicable
No"
9134,Hind Rectifiers Ltd.,GET,1113900,1150058,"Job Details
Company
Hind Rectifiers Ltd.
Department
Research & Development
Title
Control Electronics Engineer
Location
Mumbai
Education
B.Tech/ B.E/ M.Tech/ M.E. in Electronics/ Electronics and
  Comm./ Electronics & Telecomm.
Experience
Freshers
Responsibilities
•  Design and
  Development: Assist in the design and development of electronic systems and
  components used in railways, including signaling systems, train control
  systems, and communication networks.
•  Testing and
  Validation: Pa","Job Details
Company
Hind Rectifiers Ltd.
Department
Research & Development
Title
Control Electronics Engineer
Location
Mumbai
Education
B.Tech/ B.E/ M.Tech/ M.E. in Electronics/ Electronics and
  Comm./ Electronics & Telecomm.
Experience
Freshers
Responsibilities
•  Design and
  Development: Assist in the design and development of electronic systems and
  components used in railways, including signaling systems, train control
  systems, and communication networks.
•  Testing and
  Validation: Participate in testing and validation processes to ensure that
  electronic systems meet performance, safety, and regulatory standards.
•  Documentation:
  Prepare and maintain technical documentation, including design
  specifications, testing procedures, and user manuals.
•  Collaboration:
  Work closely with cross-functional teams, including software engineers,
  systems engineers, and project managers, to ensure seamless integration of
  electronic systems.
•  Innovation: Stay
  updated on the latest technological advancements in electronics and railways
  to contribute new ideas and improvements to existing systems.
Skills:
•Technical Skills: Basic understanding of electronics
  principles, circuit design, and electronic components. Familiarity with CAD
  software and simulation tools is a plus. 
  Understanding of low-power analog (op-amps, filters, BJTs, FETs) and
  digital circuits (logic, µC, memories). 
  Understanding of test equipments such oscilloscopes, DMMs, etc
•  Analytical
  Skills: Strong problem-solving abilities and attention to detail. Ability to
  analyze and interpret technical data and specifications.
•  Communication:
  Effective verbal and written communication skills. Ability to work
  collaboratively in a team environment.
•  Adaptability:
  Willingness to learn and adapt to new technologies and methodologies.
Ability to diagnose complex technical problems with the
  system
Soft Skills
Being able to work well in teams, positive attitude.
Eagerness to learn and improve
Effective communication skills
Place of posting
Accomodation details
Mumbai
None
Bond applicable
No"
9368,Strategy& [Part of PwC Network],Associate,1800000,2495729,"Job Details
About Strategy&
﻿
Strategy& is a global team of practical strategists dedicated to empowering clients with essential advantages. With a unique skill set that encompasses strategy through execution, we collaborate closely with clients to tackle their toughest challenges and capitalize on prime opportunities.
Drawing on a century of strategy consulting experience, Strategy& emerged in 2014 when Booz & Company integrated into the PwC network. This union combines a rich history of strate","Job Details
About Strategy&
﻿
Strategy& is a global team of practical strategists dedicated to empowering clients with essential advantages. With a unique skill set that encompasses strategy through execution, we collaborate closely with clients to tackle their toughest challenges and capitalize on prime opportunities.
Drawing on a century of strategy consulting experience, Strategy& emerged in 2014 when Booz & Company integrated into the PwC network. This union combines a rich history of strategic expertise with cutting-edge technology and scalability to actualize transformative strategies. Booz & Company, founded in Chicago in 1914, pioneered the consulting profession and introduced the term ""management consultant.""
Job Description
As an Associate at Strategy&, you will have the unique opportunity to collaborate closely with our esteemed clients and work alongside top problem solvers throughout all stages of consulting case projects. Your responsibilities will encompass a wide range of tasks, starting from identifying the critical issues faced by our clients, formulating and testing hypotheses, structuring and conducting analyses, and generating creative yet pragmatic solutions. You will play a pivotal role in driving end-to-end analysis, providing analytical rigor to validate hypotheses, and contributing significantly to the success of project teams.
You will be encouraged to develop and strengthen core analytical, communication, and problem-solving skills, enabling you to add substantial value as a key contributor to achieving exceptional client outcomes. At Strategy&, we foster a supportive and growth-oriented culture, providing dedicated mentorship and guidance as you progress in your professional journey. We value the perspectives and insights of all team members, regardless of experience level, and strive to create an environment where your voice will be heard and respected.
What we look for
At our management consulting firm, we seek the brightest minds from diverse backgrounds, uniting to tackle CEO agenda problems and deliver decisive advantages for our clients. Our ideal candidates possess a combination of the following skills:
Proven academic and leadership achievements
Thought leadership with strong analytical and problem-solving abilities (both quantitative and qualitative)
Personal leadership qualities, adept at driving change and achieving ambitious goals collaboratively
Independent work capabilities while fostering productive team dynamics
Business acumen and mature decision-making, with a holistic perspective
Curiosity to continually expand knowledge
Strong communication and presentation skills
Aptitude for developing and executing business strategies
Ability to harness and contribute to our knowledge assets
Initiative, organizational skills, motivation, and a sense of ownership in their work
Appreciation for diversity and the value it brings to our team
Place of posting
Accomodation details
Bengaluru
Temporary
Gurugram
Temporary
Mumbai
Temporary
Bond applicable
No"
9035,Sony Group[Japan],"Machine Learning, Software Engineer",5680000,9533840,"Job Details
【
Technology Field
】
Machine Learning,
Software Engineering
【
Position Summary
】
Sony is developing advanced AI that operates in various
use cases and environments, such as autonomous driving and game AI. While it is
necessary to prepare vast amounts of data for different scenarios, the
preparation of the data itself and its annotation pose challenges. Our team is
at the forefront of developing new AI learning technologies, leveraging a wide
array of training data, including annotate","Job Details
【
Technology Field
】
Machine Learning,
Software Engineering
【
Position Summary
】
Sony is developing advanced AI that operates in various
use cases and environments, such as autonomous driving and game AI. While it is
necessary to prepare vast amounts of data for different scenarios, the
preparation of the data itself and its annotation pose challenges. Our team is
at the forefront of developing new AI learning technologies, leveraging a wide
array of training data, including annotated, unannotated, and synthetic data.
We are in search of engineers eager to innovate in AI learning technologies and
advanced AI systems. Our projects span from autonomous driving and generative
AI in gaming and imaging to focusing on large-scale computing and distributed
processing.
As a software engineer on our team, you will engage in projects critical to
Sony's diverse needs, contributing directly to the advancement of AI
technology. Moreover, you will have the opportunity to integrate these AI
technologies across various Sony business domains, ranging from gaming to
finance. This role not only allows you to contribute to the development of
cutting-edge AI training technologies but also offers a pathway to grow into a
versatile engineer, akin to a full-stack developer, grounded in a broad
understanding of software development.
【
Responsibilities
】
■
Develop AI learning technology utilizing various
datasets such as unannotated, synthetic data, etc.
■
Launch products showcasing the developed technology.
■
Fully utilize AI learning frameworks such as PyTorch.
■
Fully utilize GPUs for development and software
optimization.
■
Present technology capabilities through academic
papers.
■
Become a world-class engineer by mastering the most
advanced technologies in machine learning and AI.
■
Become a leader or a key contributor in a team that
introduces original technologies to the market as products/services, in
collaboration with other departments such as marketing, product design,
manufacturing, etc.
■
Collaborating with global Sony group companies, you
can create business value as a data scientist across various business units,
including electronics, finance, gaming, entertainment, medical, and more.
【
Required qualifications
】
■
Master's degree in Computer Science, a related technical
field, or equivalent practical experience.
■
2 years of experience with one or more general-purpose
programming languages, including but not limited to: C/C++, or Python.
■
2 years of experience in the field of Machine
Learning.
■
Ability to speak and write in English fluently and
idiomatically.
【
Preferred qualifications
】
■
Experience in developing software using GPUs and
parallel processing.
■
Experience with AWS and/or other cloud services.
■
Ability to speak and write in Japanese.
【
Product, Service
】
Autonomous Driving System
3D world generation for Game and Virtual Production
【
Development Environment
】
PC: desktop PC and GPU-based supercomputer.
OS: Windows and Linux
Place of posting
Accomodation details
Tokyo, Japan
Temporary
Bond applicable
No"
9428,Sony Group[Japan],"Visual Recognition Computation System Architect, Research Engineer",5680000,9533840,"Job Details
【
Technology Field
】
System Architecture / Processor
Computer Vision
【
Position Summary
】
Products or
services in this decade needs to be
‘
intelligent
’
.  To be more intelligent, such products or
services would need devices to percept its surroundings even better than they
do now.  In such world, they would be
carrying multiple sensors or visual image sensors, to understand the
surrounding environments / human beings / obstacles or other information
better.  For such area Sony owns","Job Details
【
Technology Field
】
System Architecture / Processor
Computer Vision
【
Position Summary
】
Products or
services in this decade needs to be
‘
intelligent
’
.  To be more intelligent, such products or
services would need devices to percept its surroundings even better than they
do now.  In such world, they would be
carrying multiple sensors or visual image sensors, to understand the
surrounding environments / human beings / obstacles or other information
better.  For such area Sony owns very
strong position on image sensors and Sony also have created Vision processing
SoCs.
Our team are working together with both
production teams of such future products and core research engineer teams in
machine vision domain, from computational systems and system architecture point
of view.
【
Responsibilities
】
■
Develop low latency / high bandwidth / high performance
per watt computation system on edge computers. 
Also collaboratively work with related team that are responsible for
wireless communications and cloud side computation.
■
Port Sony's in-house algorithms to build assets on
Sony's internal hardware.
■
Design and propose software systems, based on required
scenarios of future products and services based on Sony's technical assets --
and of course, help to realize them as PoCs or business units.A25
【
Required qualifications
】
■
Bachelor's degree in Computer Science, a related
technical field or equivalent practical experience.
■
5+ years of experience with one or more general
purpose programming languages.
■
Familiar in working, debugging / trouble shooting in
software systems
■
A person who can proactively work with his ideas and
who can propose new features with actual implementations.
【
Preferred qualifications
】
■
Master degree in Computer Science
■
Hands on experience on performance optimizations
(CPU, GPU, DSP, memory)
■
Hands on exeperience of implementing / fixing
low-layer bugs (low layer = operating system Kernel or its driver or compiler)
■
Have good experience of 5+ programming language
(including scripting language).  Best if
having assembly language experience.
■
Have experience in working in two of: Operating
System, Programming language implementation, Robotics SW (either algorithmic
part or operating system), Visual algorithms, Machine Learning
【
Product, Service
】
Robotics, Game(PlayStation), Entertainment, Camera and
other cloud based services including new business domains for Sony
【
Development Environment
】
Mainly Linux PC and Embedded Linux
Place of posting
Accomodation details
Tokyo, Japan
Temporary
Bond applicable
No"
