Company,Role,Job_Code,JD_Link,Raw_JD_Text_File,Raw_JD_Text_Snippet,CPI_Cutoff,CTC_BTech,Gross_Salary_BTech
N/A,N/A,9936,https://campus.placements.iitb.ac.in/applicant/job/9936,fetched_jds\NA_NA_9936.txt,"Job Details
About VVF Ltd
-
The erstwhile ""The Vegetable Vitamin Foods Company Pvt Ltd"", now known as VVF Ltd. was founded in 1939 by Godrej Pallonji Joshi In Bombay, India. During the early years, VVF manufactured Vegetable Ghee, commonly known as 'Vanaspati' in India. He soon established VVF as one of the earliest domestic manufacturers of Vanaspati.
VVF has since come a long way. From being a small industry, it has grown into a National and Global Leader in the Oleochemicals and Personal Care",N/A,N/A,N/A
N/A,N/A,9946,https://campus.placements.iitb.ac.in/applicant/job/9946,fetched_jds\NA_NA_9946.txt,"Job Details
Interaction Designer, University Graduate - India
Product Area:
User experience is at the forefront of how we create intuitive, innovative, and beautiful products that people love. We strive to learn and understand our users’ needs, behaviors, and emotions to gather insights that inform product strategy and design. Our UX teams include designers, researchers, content strategists, and engineers who are passionate about quality, usability, and simplicity. We work on collaborative teams",N/A,N/A,N/A
N/A,N/A,9218,https://campus.placements.iitb.ac.in/applicant/job/9218,fetched_jds\NA_NA_9218.txt,"Job Details
Company overview:
Google is not a conventional company, and we don’t intend to become one. True, we share attributes
with the world’s most successful organizations – a focus on innovation and smart business practices
comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel.
At Google, we know that every employee has something important to say, and that every employee is
integral to our success. Googlers thrive in small, focused teams and high",N/A,N/A,N/A
N/A,N/A,10106,https://campus.placements.iitb.ac.in/applicant/job/10106,fetched_jds\NA_NA_10106.txt,"Job Details
Company
Hind Rectifiers Ltd.
Department
Research & Development
Title
Control Electronics Engineer
Location
Mumbai
Education
BTech / MTech in Mechanical
Experience
Freshers
Responsibilities
1 Use specialized software (preferably Solidworks) to create models and
drawings of sheet metal and FRP components
2  Carryout design simulation (preferably with Ansys) CFD and Structural.
3  Design of different cooling systems for electronic components
4 Study / research new materials and methods ",N/A,N/A,N/A
N/A,N/A,9729,https://campus.placements.iitb.ac.in/applicant/job/9729,fetched_jds\NA_NA_9729.txt,"Job Details
Company
Hind Rectifiers Ltd.
Department
Research & Development
Title
Embedded Software Development for Power Electronic
  Converters and Drives
Location
Mumbai
Education
BE in Electrical / Electronics
Experience
Freshers
Introduction
The candidate is responsible for design and simulation of
  different control algorithms for various power electronic converters like
  Active Front End Converters, Motor Drives, DC - DC Converters, Battery
  chargers and implementing the control algorit",N/A,N/A,N/A
N/A,N/A,9728,https://campus.placements.iitb.ac.in/applicant/job/9728,fetched_jds\NA_NA_9728.txt,"Job Details
Company
Hind Rectifiers Ltd.
Department
Research & Development
Title
Power Electronics Hardware Designing
Location
Mumbai (Bhandup)
Education
BE in Electrical / Electronics
Experience
Freshers
Roles & Responsibilities
Having good knowledge on power electronics devices like IGBTs, MOSFETs, SIC devices, POWER BJTs, gate drivers selection etc.
Losses calculations of different power electronics devices and required heatsink selection
Designing single phase and three phase inverters, Batt",N/A,N/A,N/A
N/A,N/A,9134,https://campus.placements.iitb.ac.in/applicant/job/9134,fetched_jds\NA_NA_9134.txt,"Job Details
Company
Hind Rectifiers Ltd.
Department
Research & Development
Title
Control Electronics Engineer
Location
Mumbai
Education
B.Tech/ B.E/ M.Tech/ M.E. in Electronics/ Electronics and
  Comm./ Electronics & Telecomm.
Experience
Freshers
Responsibilities
•  Design and
  Development: Assist in the design and development of electronic systems and
  components used in railways, including signaling systems, train control
  systems, and communication networks.
•  Testing and
  Validation: Pa",N/A,N/A,N/A
N/A,N/A,9368,https://campus.placements.iitb.ac.in/applicant/job/9368,fetched_jds\NA_NA_9368.txt,"Job Details
About Strategy&
﻿
Strategy& is a global team of practical strategists dedicated to empowering clients with essential advantages. With a unique skill set that encompasses strategy through execution, we collaborate closely with clients to tackle their toughest challenges and capitalize on prime opportunities.
Drawing on a century of strategy consulting experience, Strategy& emerged in 2014 when Booz & Company integrated into the PwC network. This union combines a rich history of strate",N/A,N/A,N/A
N/A,N/A,9035,https://campus.placements.iitb.ac.in/applicant/job/9035,fetched_jds\NA_NA_9035.txt,"Job Details
【
Technology Field
】
Machine Learning,
Software Engineering
【
Position Summary
】
Sony is developing advanced AI that operates in various
use cases and environments, such as autonomous driving and game AI. While it is
necessary to prepare vast amounts of data for different scenarios, the
preparation of the data itself and its annotation pose challenges. Our team is
at the forefront of developing new AI learning technologies, leveraging a wide
array of training data, including annotate",N/A,N/A,N/A
N/A,N/A,9428,https://campus.placements.iitb.ac.in/applicant/job/9428,fetched_jds\NA_NA_9428.txt,"Job Details
【
Technology Field
】
System Architecture / Processor
Computer Vision
【
Position Summary
】
Products or
services in this decade needs to be
‘
intelligent
’
.  To be more intelligent, such products or
services would need devices to percept its surroundings even better than they
do now.  In such world, they would be
carrying multiple sensors or visual image sensors, to understand the
surrounding environments / human beings / obstacles or other information
better.  For such area Sony owns",N/A,N/A,N/A
